Subtheme Pair,Parent Themes,Subtheme A,Subtheme B,Parent Theme A,Parent Theme B,Number of Job Postings,% Jobs
DevOps and CI/CD + Mobile Development,"Cloud, DevOps, and Security + Application and Web Development",DevOps and CI/CD,Mobile Development,"Cloud, DevOps, and Security",Application and Web Development,237,7.0
"Education, Degrees, and Certifications + Microsoft .NET Development","Product, Project, and Professional Skills + Application and Web Development","Education, Degrees, and Certifications",Microsoft .NET Development,"Product, Project, and Professional Skills",Application and Web Development,237,7.0
Cloud Platforms and Services + Mobile Development,"Cloud, DevOps, and Security + Application and Web Development",Cloud Platforms and Services,Mobile Development,"Cloud, DevOps, and Security",Application and Web Development,230,6.8
"Education, Degrees, and Certifications + Monitoring, Observability, and SRE","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability","Education, Degrees, and Certifications","Monitoring, Observability, and SRE","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",227,6.7
"Documentation and Communication + E-commerce, CRM, ERP, and Enterprise Platforms","Product, Project, and Professional Skills + Application and Web Development",Documentation and Communication,"E-commerce, CRM, ERP, and Enterprise Platforms","Product, Project, and Professional Skills",Application and Web Development,226,6.7
"Data Engineering and Big Data + Monitoring, Observability, and SRE","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",Data Engineering and Big Data,"Monitoring, Observability, and SRE","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",222,6.6
"DevOps and CI/CD + E-commerce, CRM, ERP, and Enterprise Platforms","Cloud, DevOps, and Security + Application and Web Development",DevOps and CI/CD,"E-commerce, CRM, ERP, and Enterprise Platforms","Cloud, DevOps, and Security",Application and Web Development,221,6.6
"E-commerce, CRM, ERP, and Enterprise Platforms + Testing and Quality Assurance",Application and Web Development + Software Engineering and Architecture,"E-commerce, CRM, ERP, and Enterprise Platforms",Testing and Quality Assurance,Application and Web Development,Software Engineering and Architecture,217,6.4
"Analytics and Business Intelligence + Monitoring, Observability, and SRE","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",Analytics and Business Intelligence,"Monitoring, Observability, and SRE","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",214,6.4
"Documentation and Communication + Embedded, Hardware, and IoT","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Documentation and Communication,"Embedded, Hardware, and IoT","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",212,6.3
"Monitoring, Observability, and SRE + UI/UX Design and Accessibility","Infrastructure, Systems, and Reliability + Application and Web Development","Monitoring, Observability, and SRE",UI/UX Design and Accessibility,"Infrastructure, Systems, and Reliability",Application and Web Development,211,6.3
"Data Platforms and Databases + E-commerce, CRM, ERP, and Enterprise Platforms","Data, AI, and Analytics + Application and Web Development",Data Platforms and Databases,"E-commerce, CRM, ERP, and Enterprise Platforms","Data, AI, and Analytics",Application and Web Development,209,6.2
Data Engineering and Big Data + Scripting and Automation Tools,"Data, AI, and Analytics + Software Engineering and Architecture",Data Engineering and Big Data,Scripting and Automation Tools,"Data, AI, and Analytics",Software Engineering and Architecture,208,6.2
"E-commerce, CRM, ERP, and Enterprise Platforms + Programming Languages and Paradigms",Application and Web Development + Software Engineering and Architecture,"E-commerce, CRM, ERP, and Enterprise Platforms",Programming Languages and Paradigms,Application and Web Development,Software Engineering and Architecture,207,6.1
Analytics and Business Intelligence + Containers and Orchestration,"Data, AI, and Analytics + Cloud, DevOps, and Security",Analytics and Business Intelligence,Containers and Orchestration,"Data, AI, and Analytics","Cloud, DevOps, and Security",205,6.1
"DevOps and CI/CD + Embedded, Hardware, and IoT","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability",DevOps and CI/CD,"Embedded, Hardware, and IoT","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",205,6.1
Documentation and Communication + Mobile Development,"Product, Project, and Professional Skills + Application and Web Development",Documentation and Communication,Mobile Development,"Product, Project, and Professional Skills",Application and Web Development,203,6.0
Data Platforms and Databases + Mobile Development,"Data, AI, and Analytics + Application and Web Development",Data Platforms and Databases,Mobile Development,"Data, AI, and Analytics",Application and Web Development,199,5.9
"Embedded, Hardware, and IoT + Project Management and Agile Practices","Infrastructure, Systems, and Reliability + Product, Project, and Professional Skills","Embedded, Hardware, and IoT",Project Management and Agile Practices,"Infrastructure, Systems, and Reliability","Product, Project, and Professional Skills",199,5.9
"Cloud Platforms and Services + E-commerce, CRM, ERP, and Enterprise Platforms","Cloud, DevOps, and Security + Application and Web Development",Cloud Platforms and Services,"E-commerce, CRM, ERP, and Enterprise Platforms","Cloud, DevOps, and Security",Application and Web Development,198,5.9
"Embedded, Hardware, and IoT + Security, Authentication, and Compliance","Infrastructure, Systems, and Reliability + Cloud, DevOps, and Security","Embedded, Hardware, and IoT","Security, Authentication, and Compliance","Infrastructure, Systems, and Reliability","Cloud, DevOps, and Security",198,5.9
Full-Stack Development + Software Development Process and Practices,Application and Web Development + Software Engineering and Architecture,Full-Stack Development,Software Development Process and Practices,Application and Web Development,Software Engineering and Architecture,190,5.6
"Backend and API Development + Embedded, Hardware, and IoT","Application and Web Development + Infrastructure, Systems, and Reliability",Backend and API Development,"Embedded, Hardware, and IoT",Application and Web Development,"Infrastructure, Systems, and Reliability",183,5.4
Full-Stack Development + General Professional Skills and Soft Skills,"Application and Web Development + Product, Project, and Professional Skills",Full-Stack Development,General Professional Skills and Soft Skills,Application and Web Development,"Product, Project, and Professional Skills",183,5.4
Containers and Orchestration + Microsoft .NET Development,"Cloud, DevOps, and Security + Application and Web Development",Containers and Orchestration,Microsoft .NET Development,"Cloud, DevOps, and Security",Application and Web Development,181,5.4
"E-commerce, CRM, ERP, and Enterprise Platforms + Security, Authentication, and Compliance","Application and Web Development + Cloud, DevOps, and Security","E-commerce, CRM, ERP, and Enterprise Platforms","Security, Authentication, and Compliance",Application and Web Development,"Cloud, DevOps, and Security",178,5.3
Microsoft .NET Development + Scripting and Automation Tools,Application and Web Development + Software Engineering and Architecture,Microsoft .NET Development,Scripting and Automation Tools,Application and Web Development,Software Engineering and Architecture,174,5.2
"Domain and Industry Knowledge + E-commerce, CRM, ERP, and Enterprise Platforms","Product, Project, and Professional Skills + Application and Web Development",Domain and Industry Knowledge,"E-commerce, CRM, ERP, and Enterprise Platforms","Product, Project, and Professional Skills",Application and Web Development,171,5.1
Analytics and Business Intelligence + Microsoft .NET Development,"Data, AI, and Analytics + Application and Web Development",Analytics and Business Intelligence,Microsoft .NET Development,"Data, AI, and Analytics",Application and Web Development,169,5.0
"Mobile Development + Security, Authentication, and Compliance","Application and Web Development + Cloud, DevOps, and Security",Mobile Development,"Security, Authentication, and Compliance",Application and Web Development,"Cloud, DevOps, and Security",167,5.0
"Cloud Platforms and Services + Embedded, Hardware, and IoT","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability",Cloud Platforms and Services,"Embedded, Hardware, and IoT","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",165,4.9
Domain and Industry Knowledge + Mobile Development,"Product, Project, and Professional Skills + Application and Web Development",Domain and Industry Knowledge,Mobile Development,"Product, Project, and Professional Skills",Application and Web Development,165,4.9
"E-commerce, CRM, ERP, and Enterprise Platforms + Systems, Networking, and Administration","Application and Web Development + Infrastructure, Systems, and Reliability","E-commerce, CRM, ERP, and Enterprise Platforms","Systems, Networking, and Administration",Application and Web Development,"Infrastructure, Systems, and Reliability",146,4.3
"Education, Degrees, and Certifications + Embedded, Hardware, and IoT","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability","Education, Degrees, and Certifications","Embedded, Hardware, and IoT","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",145,4.3
Full-Stack Development + Software Architecture and System Design,Application and Web Development + Software Engineering and Architecture,Full-Stack Development,Software Architecture and System Design,Application and Web Development,Software Engineering and Architecture,145,4.3
AI/ML and LLMs + Microsoft .NET Development,"Data, AI, and Analytics + Application and Web Development",AI/ML and LLMs,Microsoft .NET Development,"Data, AI, and Analytics",Application and Web Development,143,4.2
"AI/ML and LLMs + Embedded, Hardware, and IoT","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",AI/ML and LLMs,"Embedded, Hardware, and IoT","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",138,4.1
DevOps and CI/CD + Full-Stack Development,"Cloud, DevOps, and Security + Application and Web Development",DevOps and CI/CD,Full-Stack Development,"Cloud, DevOps, and Security",Application and Web Development,137,4.1
"Education, Degrees, and Certifications + Mobile Development","Product, Project, and Professional Skills + Application and Web Development","Education, Degrees, and Certifications",Mobile Development,"Product, Project, and Professional Skills",Application and Web Development,137,4.1
Data Engineering and Big Data + Microsoft .NET Development,"Data, AI, and Analytics + Application and Web Development",Data Engineering and Big Data,Microsoft .NET Development,"Data, AI, and Analytics",Application and Web Development,135,4.0
"E-commerce, CRM, ERP, and Enterprise Platforms + Education, Degrees, and Certifications","Application and Web Development + Product, Project, and Professional Skills","E-commerce, CRM, ERP, and Enterprise Platforms","Education, Degrees, and Certifications",Application and Web Development,"Product, Project, and Professional Skills",131,3.9
"Analytics and Business Intelligence + Embedded, Hardware, and IoT","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",Analytics and Business Intelligence,"Embedded, Hardware, and IoT","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",129,3.8
Cloud Platforms and Services + Full-Stack Development,"Cloud, DevOps, and Security + Application and Web Development",Cloud Platforms and Services,Full-Stack Development,"Cloud, DevOps, and Security",Application and Web Development,129,3.8
Data Platforms and Databases + Full-Stack Development,"Data, AI, and Analytics + Application and Web Development",Data Platforms and Databases,Full-Stack Development,"Data, AI, and Analytics",Application and Web Development,129,3.8
"Mobile Development + Systems, Networking, and Administration","Application and Web Development + Infrastructure, Systems, and Reliability",Mobile Development,"Systems, Networking, and Administration",Application and Web Development,"Infrastructure, Systems, and Reliability",127,3.8
"Microsoft .NET Development + Monitoring, Observability, and SRE","Application and Web Development + Infrastructure, Systems, and Reliability",Microsoft .NET Development,"Monitoring, Observability, and SRE",Application and Web Development,"Infrastructure, Systems, and Reliability",125,3.7
Full-Stack Development + Programming Languages and Paradigms,Application and Web Development + Software Engineering and Architecture,Full-Stack Development,Programming Languages and Paradigms,Application and Web Development,Software Engineering and Architecture,124,3.7
"Embedded, Hardware, and IoT + UI/UX Design and Accessibility","Infrastructure, Systems, and Reliability + Application and Web Development","Embedded, Hardware, and IoT",UI/UX Design and Accessibility,"Infrastructure, Systems, and Reliability",Application and Web Development,123,3.7
"Embedded, Hardware, and IoT + Frontend Web Development","Infrastructure, Systems, and Reliability + Application and Web Development","Embedded, Hardware, and IoT",Frontend Web Development,"Infrastructure, Systems, and Reliability",Application and Web Development,122,3.6
AI/ML and LLMs + Mobile Development,"Data, AI, and Analytics + Application and Web Development",AI/ML and LLMs,Mobile Development,"Data, AI, and Analytics",Application and Web Development,120,3.6
Full-Stack Development + Project Management and Agile Practices,"Application and Web Development + Product, Project, and Professional Skills",Full-Stack Development,Project Management and Agile Practices,Application and Web Development,"Product, Project, and Professional Skills",120,3.6
Business and Product Skills + Full-Stack Development,"Product, Project, and Professional Skills + Application and Web Development",Business and Product Skills,Full-Stack Development,"Product, Project, and Professional Skills",Application and Web Development,119,3.5
"Analytics and Business Intelligence + E-commerce, CRM, ERP, and Enterprise Platforms","Data, AI, and Analytics + Application and Web Development",Analytics and Business Intelligence,"E-commerce, CRM, ERP, and Enterprise Platforms","Data, AI, and Analytics",Application and Web Development,115,3.4
Documentation and Communication + Full-Stack Development,"Product, Project, and Professional Skills + Application and Web Development",Documentation and Communication,Full-Stack Development,"Product, Project, and Professional Skills",Application and Web Development,114,3.4
Full-Stack Development + Testing and Quality Assurance,Application and Web Development + Software Engineering and Architecture,Full-Stack Development,Testing and Quality Assurance,Application and Web Development,Software Engineering and Architecture,113,3.4
"Data Platforms and Databases + Embedded, Hardware, and IoT","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",Data Platforms and Databases,"Embedded, Hardware, and IoT","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",107,3.2
"Data Engineering and Big Data + E-commerce, CRM, ERP, and Enterprise Platforms","Data, AI, and Analytics + Application and Web Development",Data Engineering and Big Data,"E-commerce, CRM, ERP, and Enterprise Platforms","Data, AI, and Analytics",Application and Web Development,106,3.1
Analytics and Business Intelligence + Mobile Development,"Data, AI, and Analytics + Application and Web Development",Analytics and Business Intelligence,Mobile Development,"Data, AI, and Analytics",Application and Web Development,105,3.1
"AI/ML and LLMs + E-commerce, CRM, ERP, and Enterprise Platforms","Data, AI, and Analytics + Application and Web Development",AI/ML and LLMs,"E-commerce, CRM, ERP, and Enterprise Platforms","Data, AI, and Analytics",Application and Web Development,101,3.0
"E-commerce, CRM, ERP, and Enterprise Platforms + Scripting and Automation Tools",Application and Web Development + Software Engineering and Architecture,"E-commerce, CRM, ERP, and Enterprise Platforms",Scripting and Automation Tools,Application and Web Development,Software Engineering and Architecture,100,3.0
"General Professional Skills and Soft Skills + Graphics, Game, and Multimedia","Product, Project, and Professional Skills + Application and Web Development",General Professional Skills and Soft Skills,"Graphics, Game, and Multimedia","Product, Project, and Professional Skills",Application and Web Development,98,2.9
"Embedded, Hardware, and IoT + Scripting and Automation Tools","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Embedded, Hardware, and IoT",Scripting and Automation Tools,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,92,2.7
"E-commerce, CRM, ERP, and Enterprise Platforms + Monitoring, Observability, and SRE","Application and Web Development + Infrastructure, Systems, and Reliability","E-commerce, CRM, ERP, and Enterprise Platforms","Monitoring, Observability, and SRE",Application and Web Development,"Infrastructure, Systems, and Reliability",91,2.7
Data Engineering and Big Data + Mobile Development,"Data, AI, and Analytics + Application and Web Development",Data Engineering and Big Data,Mobile Development,"Data, AI, and Analytics",Application and Web Development,87,2.6
Containers and Orchestration + Mobile Development,"Cloud, DevOps, and Security + Application and Web Development",Containers and Orchestration,Mobile Development,"Cloud, DevOps, and Security",Application and Web Development,86,2.6
"Containers and Orchestration + E-commerce, CRM, ERP, and Enterprise Platforms","Cloud, DevOps, and Security + Application and Web Development",Containers and Orchestration,"E-commerce, CRM, ERP, and Enterprise Platforms","Cloud, DevOps, and Security",Application and Web Development,82,2.4
"Education, Degrees, and Certifications + Full-Stack Development","Product, Project, and Professional Skills + Application and Web Development","Education, Degrees, and Certifications",Full-Stack Development,"Product, Project, and Professional Skills",Application and Web Development,81,2.4
AI/ML and LLMs + Full-Stack Development,"Data, AI, and Analytics + Application and Web Development",AI/ML and LLMs,Full-Stack Development,"Data, AI, and Analytics",Application and Web Development,79,2.3
"Graphics, Game, and Multimedia + Software Architecture and System Design",Application and Web Development + Software Engineering and Architecture,"Graphics, Game, and Multimedia",Software Architecture and System Design,Application and Web Development,Software Engineering and Architecture,77,2.3
Mobile Development + Scripting and Automation Tools,Application and Web Development + Software Engineering and Architecture,Mobile Development,Scripting and Automation Tools,Application and Web Development,Software Engineering and Architecture,76,2.3
Containers and Orchestration + Full-Stack Development,"Cloud, DevOps, and Security + Application and Web Development",Containers and Orchestration,Full-Stack Development,"Cloud, DevOps, and Security",Application and Web Development,75,2.2
"Containers and Orchestration + Embedded, Hardware, and IoT","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability",Containers and Orchestration,"Embedded, Hardware, and IoT","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",72,2.1
"Full-Stack Development + Security, Authentication, and Compliance","Application and Web Development + Cloud, DevOps, and Security",Full-Stack Development,"Security, Authentication, and Compliance",Application and Web Development,"Cloud, DevOps, and Security",72,2.1
"Graphics, Game, and Multimedia + Software Development Process and Practices",Application and Web Development + Software Engineering and Architecture,"Graphics, Game, and Multimedia",Software Development Process and Practices,Application and Web Development,Software Engineering and Architecture,70,2.1
Domain and Industry Knowledge + Full-Stack Development,"Product, Project, and Professional Skills + Application and Web Development",Domain and Industry Knowledge,Full-Stack Development,"Product, Project, and Professional Skills",Application and Web Development,68,2.0
"Graphics, Game, and Multimedia + Programming Languages and Paradigms",Application and Web Development + Software Engineering and Architecture,"Graphics, Game, and Multimedia",Programming Languages and Paradigms,Application and Web Development,Software Engineering and Architecture,68,2.0
"Mobile Development + Monitoring, Observability, and SRE","Application and Web Development + Infrastructure, Systems, and Reliability",Mobile Development,"Monitoring, Observability, and SRE",Application and Web Development,"Infrastructure, Systems, and Reliability",68,2.0
"Embedded, Hardware, and IoT + Microsoft .NET Development","Infrastructure, Systems, and Reliability + Application and Web Development","Embedded, Hardware, and IoT",Microsoft .NET Development,"Infrastructure, Systems, and Reliability",Application and Web Development,64,1.9
"Data Engineering and Big Data + Embedded, Hardware, and IoT","Data, AI, and Analytics + Infrastructure, Systems, and Reliability",Data Engineering and Big Data,"Embedded, Hardware, and IoT","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",62,1.8
"Full-Stack Development + Systems, Networking, and Administration","Application and Web Development + Infrastructure, Systems, and Reliability",Full-Stack Development,"Systems, Networking, and Administration",Application and Web Development,"Infrastructure, Systems, and Reliability",58,1.7
"Embedded, Hardware, and IoT + Mobile Development","Infrastructure, Systems, and Reliability + Application and Web Development","Embedded, Hardware, and IoT",Mobile Development,"Infrastructure, Systems, and Reliability",Application and Web Development,50,1.5
"AI/ML and LLMs + Graphics, Game, and Multimedia","Data, AI, and Analytics + Application and Web Development",AI/ML and LLMs,"Graphics, Game, and Multimedia","Data, AI, and Analytics",Application and Web Development,49,1.5
"Graphics, Game, and Multimedia + Project Management and Agile Practices","Application and Web Development + Product, Project, and Professional Skills","Graphics, Game, and Multimedia",Project Management and Agile Practices,Application and Web Development,"Product, Project, and Professional Skills",45,1.3
"Business and Product Skills + Graphics, Game, and Multimedia","Product, Project, and Professional Skills + Application and Web Development",Business and Product Skills,"Graphics, Game, and Multimedia","Product, Project, and Professional Skills",Application and Web Development,44,1.3
"Documentation and Communication + Graphics, Game, and Multimedia","Product, Project, and Professional Skills + Application and Web Development",Documentation and Communication,"Graphics, Game, and Multimedia","Product, Project, and Professional Skills",Application and Web Development,44,1.3
"DevOps and CI/CD + Graphics, Game, and Multimedia","Cloud, DevOps, and Security + Application and Web Development",DevOps and CI/CD,"Graphics, Game, and Multimedia","Cloud, DevOps, and Security",Application and Web Development,43,1.3
"Domain and Industry Knowledge + Graphics, Game, and Multimedia","Product, Project, and Professional Skills + Application and Web Development",Domain and Industry Knowledge,"Graphics, Game, and Multimedia","Product, Project, and Professional Skills",Application and Web Development,43,1.3
Data Engineering and Big Data + Full-Stack Development,"Data, AI, and Analytics + Application and Web Development",Data Engineering and Big Data,Full-Stack Development,"Data, AI, and Analytics",Application and Web Development,40,1.2
Full-Stack Development + Scripting and Automation Tools,Application and Web Development + Software Engineering and Architecture,Full-Stack Development,Scripting and Automation Tools,Application and Web Development,Software Engineering and Architecture,40,1.2
Analytics and Business Intelligence + Full-Stack Development,"Data, AI, and Analytics + Application and Web Development",Analytics and Business Intelligence,Full-Stack Development,"Data, AI, and Analytics",Application and Web Development,39,1.2
"Graphics, Game, and Multimedia + Testing and Quality Assurance",Application and Web Development + Software Engineering and Architecture,"Graphics, Game, and Multimedia",Testing and Quality Assurance,Application and Web Development,Software Engineering and Architecture,36,1.1
"Cloud Platforms and Services + Graphics, Game, and Multimedia","Cloud, DevOps, and Security + Application and Web Development",Cloud Platforms and Services,"Graphics, Game, and Multimedia","Cloud, DevOps, and Security",Application and Web Development,34,1.0
"Graphics, Game, and Multimedia + Systems, Networking, and Administration","Application and Web Development + Infrastructure, Systems, and Reliability","Graphics, Game, and Multimedia","Systems, Networking, and Administration",Application and Web Development,"Infrastructure, Systems, and Reliability",28,0.8
"Full-Stack Development + Monitoring, Observability, and SRE","Application and Web Development + Infrastructure, Systems, and Reliability",Full-Stack Development,"Monitoring, Observability, and SRE",Application and Web Development,"Infrastructure, Systems, and Reliability",26,0.8
"Data Platforms and Databases + Graphics, Game, and Multimedia","Data, AI, and Analytics + Application and Web Development",Data Platforms and Databases,"Graphics, Game, and Multimedia","Data, AI, and Analytics",Application and Web Development,24,0.7
"Analytics and Business Intelligence + Graphics, Game, and Multimedia","Data, AI, and Analytics + Application and Web Development",Analytics and Business Intelligence,"Graphics, Game, and Multimedia","Data, AI, and Analytics",Application and Web Development,23,0.7
"Data Engineering and Big Data + Graphics, Game, and Multimedia","Data, AI, and Analytics + Application and Web Development",Data Engineering and Big Data,"Graphics, Game, and Multimedia","Data, AI, and Analytics",Application and Web Development,22,0.7
"E-commerce, CRM, ERP, and Enterprise Platforms + Embedded, Hardware, and IoT","Application and Web Development + Infrastructure, Systems, and Reliability","E-commerce, CRM, ERP, and Enterprise Platforms","Embedded, Hardware, and IoT",Application and Web Development,"Infrastructure, Systems, and Reliability",22,0.7
"Education, Degrees, and Certifications + Graphics, Game, and Multimedia","Product, Project, and Professional Skills + Application and Web Development","Education, Degrees, and Certifications","Graphics, Game, and Multimedia","Product, Project, and Professional Skills",Application and Web Development,20,0.6
"Embedded, Hardware, and IoT + Graphics, Game, and Multimedia","Infrastructure, Systems, and Reliability + Application and Web Development","Embedded, Hardware, and IoT","Graphics, Game, and Multimedia","Infrastructure, Systems, and Reliability",Application and Web Development,19,0.6
"Containers and Orchestration + Graphics, Game, and Multimedia","Cloud, DevOps, and Security + Application and Web Development",Containers and Orchestration,"Graphics, Game, and Multimedia","Cloud, DevOps, and Security",Application and Web Development,17,0.5
"Graphics, Game, and Multimedia + Security, Authentication, and Compliance","Application and Web Development + Cloud, DevOps, and Security","Graphics, Game, and Multimedia","Security, Authentication, and Compliance",Application and Web Development,"Cloud, DevOps, and Security",17,0.5
"Graphics, Game, and Multimedia + Scripting and Automation Tools",Application and Web Development + Software Engineering and Architecture,"Graphics, Game, and Multimedia",Scripting and Automation Tools,Application and Web Development,Software Engineering and Architecture,14,0.4
"Graphics, Game, and Multimedia + Monitoring, Observability, and SRE","Application and Web Development + Infrastructure, Systems, and Reliability","Graphics, Game, and Multimedia","Monitoring, Observability, and SRE",Application and Web Development,"Infrastructure, Systems, and Reliability",13,0.4
"Embedded, Hardware, and IoT + Full-Stack Development","Infrastructure, Systems, and Reliability + Application and Web Development","Embedded, Hardware, and IoT",Full-Stack Development,"Infrastructure, Systems, and Reliability",Application and Web Development,11,0.3
